date,Impact energy (kt),Velocity (kps),altitude (km),coord
9/8/2015,0.073,16.1,44.4,"(('6.3', 'N'), ('29.9', 'E'))"
9/7/2015,3.9,21,29.3,"(('14.5', 'N'), ('98.9', 'E'))"
9/2/2015,0.13,24.1,39.8,"(('39.1', 'N'), ('40.2', 'E'))"
8/4/2015,0.1,0,0,"(('9.6', 'S'), ('125.9', 'E'))"
7/19/2015,0.082,17.8,22,"(('20.6', 'N'), ('87.6', 'W'))"
7/12/2015,0.079,0,41,"(('31.0', 'N'), ('159.6', 'E'))"
7/4/2015,0.18,49,46.3,"(('38.6', 'N'), ('103.1', 'E'))"
6/14/2015,0.22,31.9,32.4,"(('6.3', 'N'), ('124.1', 'E'))"
6/12/2015,0.5,0,43.5,"(('1.3', 'S'), ('32.1', 'W'))"
6/10/2015,1,0,61.1,"(('11.5', 'S'), ('161.9', 'W'))"
6/2/2015,0.99,0,0,"(('6.4', 'S'), ('142.7', 'W'))"
5/20/2015,0.12,0,32.4,"(('1.0', 'N'), ('172.6', 'E'))"
5/18/2015,0.14,0,29,"(('32.4', 'N'), ('139.1', 'E'))"
5/10/2015,0.42,12.2,29.6,"(('46.3', 'S'), ('179.3', 'W'))"
5/7/2015,0.17,17.3,37,"(('21.5', 'S'), ('29.3', 'W'))"
4/30/2015,0.32,12.9,26.7,"(('48.7', 'S'), ('139.1', 'E'))"
4/21/2015,0.27,21.3,37.4,"(('37.7', 'N'), ('39.6', 'W'))"
4/10/2015,0.21,0,0,"(('42.8', 'S'), ('8.2', 'E'))"
4/8/2015,0.49,19.2,36.3,"(('25.5', 'S'), ('51.5', 'E'))"
4/3/2015,0.14,0,0,"(('8.4', 'N'), ('157.9', 'W'))"
3/30/2015,0.2,13.8,33.1,"(('36.1', 'S'), ('5.5', 'W'))"
3/18/2015,0.36,0,50,"(('5.4', 'S'), ('159.3', 'E'))"
3/11/2015,0.23,19.9,35.2,"(('8.0', 'N'), ('119.1', 'E'))"
3/8/2015,0.073,0,0,"(('39.1', 'S'), ('118.6', 'W'))"
3/4/2015,0.18,18,39.8,"(('15.9', 'S'), ('88.1', 'E'))"
2/26/2015,0.53,21.1,33.7,"(('68.0', 'N'), ('149.0', 'W'))"
2/25/2015,0.19,0,42,"(('12.4', 'N'), ('122.4', 'W'))"
2/17/2015,0.11,28.8,39,"(('8.0', 'S'), ('11.2', 'W'))"
1/9/2015,0.079,0,0,"(('23.3', 'S'), ('49.2', 'W'))"
1/9/2015,0.41,17.5,36,"(('2.0', 'N'), ('28.8', 'E'))"
1/7/2015,0.4,35.7,45.5,"(('45.7', 'N'), ('26.9', 'E'))"
1/2/2015,0.073,18.1,38.1,"(('31.1', 'S'), ('140.0', 'E'))"
12/13/2014,0.15,21.7,30.7,"(('86.7', 'N'), ('162.1', 'W'))"
12/12/2014,0.11,12,26.3,"(('33.5', 'N'), ('144.9', 'E'))"
12/9/2014,0.24,0,26.3,"(('76.6', 'N'), ('96.3', 'E'))"
11/28/2014,1.7,13.4,26.1,"(('45.8', 'S'), ('172.7', 'W'))"
11/27/2014,0.18,0,38,"(('18.8', 'S'), ('73.4', 'W'))"
11/26/2014,0.35,25.3,23.3,"(('69.5', 'S'), ('179.7', 'W'))"
11/26/2014,0.32,19.9,37,"(('68.2', 'S'), ('24.0', 'W'))"
11/4/2014,0.45,16,22.2,"(('43.1', 'N'), ('115.8', 'E'))"
10/21/2014,0.12,0,0,"(('22.2', 'N'), ('132.9', 'W'))"
10/17/2014,0.23,0,39,"(('4.6', 'S'), ('66.3', 'W'))"
10/14/2014,0.1,16.9,27.2,"(('2.0', 'S'), ('119.2', 'E'))"
10/6/2014,0.13,0,0,"(('43.7', 'S'), ('85.7', 'E'))"
9/9/2014,0.098,0,32.5,"(('3.2', 'N'), ('137.2', 'E'))"
9/5/2014,0.12,0,0,"(('22.7', 'N'), ('150.0', 'W'))"
8/29/2014,0.092,0,0,"(('6.2', 'S'), ('49.9', 'W'))"
8/28/2014,0.12,0,0,"(('3.2', 'N'), ('45.4', 'W'))"
8/23/2014,7.6,16.2,22.2,"(('61.7', 'S'), ('132.6', 'E'))"
7/29/2014,0.23,0,0,"(('49.2', 'S'), ('172.2', 'W'))"
7/29/2014,0.17,0,0,"(('33.9', 'S'), ('115.9', 'W'))"
6/28/2014,0.67,12.4,26.3,"(('18.9', 'N'), ('141.2', 'E'))"
6/26/2014,0.2,11.2,28.5,"(('71.5', 'S'), ('93.4', 'E'))"
5/29/2014,0.19,0,28.7,"(('21.9', 'N'), ('131.1', 'W'))"
5/16/2014,0.4,18,30.8,"(('39.4', 'S'), ('95.9', 'W'))"
5/16/2014,0.82,16.5,44,"(('44.2', 'S'), ('176.2', 'W'))"
5/8/2014,2.4,19,35.4,"(('36.9', 'S'), ('87.3', 'E'))"
3/29/2014,0.13,16.3,30.7,"(('28.7', 'S'), ('121.5', 'E'))"
3/18/2014,1.3,0,30.5,"(('0.0', 'N'), ('111.8', 'W'))"
3/3/2014,0.29,0,0,"(('29.0', 'S'), ('94.9', 'W'))"
2/18/2014,0.092,0,0,"(('32.8', 'S'), ('61.5', 'W'))"
2/13/2014,1.5,0,25,"(('13.3', 'N'), ('110.7', 'W'))"
1/15/2014,0.41,0,29.6,"(('18.5', 'S'), ('141.8', 'E'))"
1/12/2014,0.24,16.2,37,"(('2.9', 'N'), ('64.4', 'E'))"
1/8/2014,0.11,44.8,18.7,"(('1.3', 'S'), ('147.6', 'E'))"
12/23/2013,0.43,15.1,34.3,"(('39.5', 'N'), ('2.0', 'E'))"
12/8/2013,0.2,11.8,23.5,"(('32.8', 'N'), ('165.1', 'W'))"
11/21/2013,0.23,12.4,59.3,"(('44.7', 'N'), ('35.3', 'E'))"
10/12/2013,3.5,12.8,22.2,"(('19.1', 'S'), ('25.0', 'W'))"
10/9/2013,0.19,0,0,"((None, None), (None, None))"
9/24/2013,0.46,0,40.7,"(('10.3', 'S'), ('164.7', 'W'))"
8/12/2013,0.15,0,66.6,"(('34.4', 'S'), ('118.2', 'E'))"
7/31/2013,0.13,0,0,"((None, None), (None, None))"
7/31/2013,0.22,17.8,29.1,"(('31.8', 'S'), ('137.1', 'E'))"
7/30/2013,1,18.8,25.6,"(('50.2', 'S'), ('90.2', 'E'))"
7/27/2013,0.36,22.1,26.5,"(('0.3', 'N'), ('156.2', 'E'))"
7/26/2013,0.073,0,37,"(('21.0', 'N'), ('178.5', 'W'))"
7/18/2013,0.079,0,0,"((None, None), (None, None))"
6/13/2013,0.079,0,0,"((None, None), (None, None))"
6/1/2013,0.12,0,28.9,"(('65.6', 'S'), ('138.4', 'E'))"
5/14/2013,0.073,0,0,"(('3.0', 'S'), ('76.4', 'E'))"
4/30/2013,10,12.1,21.2,"(('35.5', 'N'), ('30.7', 'W'))"
4/21/2013,2.5,14.9,40.7,"(('28.1', 'S'), ('64.6', 'W'))"
3/12/2013,0.1,0,26,"(('32.7', 'S'), ('17.1', 'E'))"
2/20/2013,0.1,13.6,0,"(('23.0', 'S'), ('38.8', 'W'))"
2/15/2013,440,18.6,23.3,"(('54.8', 'N'), ('61.1', 'E'))"
2/7/2013,0.21,0,0,"(('18.8', 'S'), ('158.6', 'W'))"
1/25/2013,6.9,0,0,"(('60.3', 'N'), ('64.6', 'W'))"
1/12/2013,0.16,0,36.1,"(('15.1', 'S'), ('155.6', 'W'))"
12/30/2012,0.55,0,0,"(('17.3', 'N'), ('83.6', 'W'))"
12/18/2012,0.095,0,0,"((None, None), (None, None))"
11/20/2012,0.089,14.3,33.3,"(('2.5', 'N'), ('29.6', 'E'))"
11/20/2012,0.36,0,0,"(('8.0', 'S'), ('86.0', 'W'))"
10/25/2012,0.1,0,0,"((None, None), (None, None))"
10/19/2012,0.082,13.2,29.3,"(('75.4', 'S'), ('49.6', 'E'))"
10/9/2012,0.58,13.5,27.8,"(('51.2', 'N'), ('84.6', 'W'))"
10/3/2012,0.75,17,0,"(('41.5', 'S'), ('21.9', 'W'))"
10/2/2012,1.2,15.4,35,"(('8.1', 'S'), ('111.9', 'W'))"
9/28/2012,0.13,0,0,"(('6.9', 'S'), ('73.7', 'E'))"
9/18/2012,0.67,18.3,28.1,"(('1.2', 'N'), ('52.2', 'W'))"
9/11/2012,0.17,0,0,"(('18.9', 'S'), ('105.2', 'E'))"
9/10/2012,0.082,16.9,23.8,"(('69.8', 'S'), ('111.7', 'W'))"
8/27/2012,0.22,28.9,38.7,"(('18.3', 'S'), ('64.2', 'E'))"
8/26/2012,0.68,12.7,36,"(('11.8', 'N'), ('117.0', 'E'))"
8/13/2012,0.11,0,0,"((None, None), (None, None))"
7/27/2012,0.12,0,27.2,"(('63.1', 'N'), ('172.3', 'E'))"
7/25/2012,0.39,18.5,26.8,"(('36.4', 'N'), ('41.5', 'E'))"
6/5/2012,0.086,0,0,"((None, None), (None, None))"
5/25/2012,0.19,0,0,"(('41.8', 'S'), ('36.2', 'W'))"
5/22/2012,0.59,0,0,"((None, None), (None, None))"
5/15/2012,0.39,17.1,33.3,"(('61.8', 'S'), ('135.5', 'W'))"
5/4/2012,0.63,0,0,"(('76.7', 'N'), ('10.6', 'W'))"
4/23/2012,0.15,0,25.2,"(('36.2', 'N'), ('107.4', 'E'))"
4/21/2012,0.42,0,0,"(('15.8', 'S'), ('174.8', 'W'))"
4/19/2012,0.1,0,0,"(('5.5', 'N'), ('16.8', 'E'))"
4/2/2012,0.11,0,0,"(('28.1', 'N'), ('95.2', 'W'))"
3/12/2012,0.3,11.8,25,"(('2.5', 'N'), ('139.8', 'E'))"
3/3/2012,0.31,0,20.4,"(('7.8', 'N'), ('2.7', 'E'))"
3/1/2012,0.079,0,0,"(('46.9', 'N'), ('29.8', 'W'))"
2/24/2012,0.13,0,0,"(('22.7', 'S'), ('30.8', 'E'))"
2/17/2012,0.44,0,45.6,"(('3.2', 'S'), ('39.9', 'W'))"
2/16/2012,0.3,0,0,"(('9.8', 'N'), ('151.8', 'E'))"
2/12/2012,0.41,0,61,"(('31.7', 'S'), ('54.9', 'E'))"
2/4/2012,0.43,12.2,34.2,"(('32.4', 'N'), ('0.1', 'E'))"
1/15/2012,0.076,12.3,26.3,"(('64.1', 'S'), ('109.9', 'E'))"
1/11/2012,0.26,0,0,"(('32.2', 'N'), ('88.5', 'E'))"
12/19/2011,0.4,0,36.1,"(('30.2', 'S'), ('52.6', 'E'))"
12/14/2011,0.16,0,32.4,"(('62.9', 'S'), ('89.6', 'E'))"
12/11/2011,0.1,0,0,"((None, None), (None, None))"
11/20/2011,0.082,0,0,"(('27.9', 'S'), ('116.3', 'E'))"
10/12/2011,0.12,0,0,"(('26.4', 'S'), ('78.4', 'W'))"
9/13/2011,0.21,16.7,21.3,"(('19.9', 'S'), ('13.8', 'W'))"
8/31/2011,0.095,0,0,"(('18.6', 'N'), ('5.1', 'W'))"
8/20/2011,0.082,0,0,"(('27.2', 'S'), ('2.8', 'W'))"
8/18/2011,0.082,0,0,"((None, None), (None, None))"
8/11/2011,0.12,0,0,"((None, None), (None, None))"
8/4/2011,0.098,0,63,"(('40.7', 'S'), ('86.7', 'W'))"
7/27/2011,0.15,0,29.6,"(('45.3', 'S'), ('63.5', 'E'))"
7/7/2011,0.11,0,0,"((None, None), (None, None))"
7/5/2011,0.21,0,40.7,"(('29.1', 'N'), ('139.7', 'E'))"
7/4/2011,0.1,0,0,"(('51.7', 'S'), ('175.0', 'E'))"
6/16/2011,0.086,0,40.5,"(('67.3', 'N'), ('21.4', 'W'))"
5/25/2011,4.8,11.6,59,"(('4.1', 'N'), ('14.0', 'E'))"
5/16/2011,0.073,0,0,"(('1.2', 'S'), ('92.8', 'E'))"
4/27/2011,0.61,0,28.7,"(('1.4', 'N'), ('126.6', 'W'))"
4/27/2011,0.086,0,0,"((None, None), (None, None))"
4/17/2011,0.086,0,0,"((None, None), (None, None))"
4/11/2011,0.13,0,0,"((None, None), (None, None))"
4/6/2011,0.43,12.7,22.2,"(('71.1', 'N'), ('43.5', 'W'))"
3/24/2011,0.19,0,59,"(('0.6', 'N'), ('127.5', 'W'))"
3/23/2011,0.11,0,0,"((None, None), (None, None))"
3/23/2011,0.079,0,0,"(('16.8', 'S'), ('85.6', 'W'))"
3/1/2011,0.13,11.9,30.6,"(('53.5', 'N'), ('103.9', 'E'))"
2/21/2011,0.13,18,44.4,"(('26.3', 'N'), ('43.7', 'E'))"
2/12/2011,0.073,0,0,"(('7.8', 'N'), ('95.3', 'W'))"
1/21/2011,0.23,0,61,"(('18.9', 'N'), ('44.6', 'W'))"
1/8/2011,0.1,0,48,"(('33.3', 'N'), ('125.8', 'W'))"
12/25/2010,33,18.1,26,"(('38.0', 'N'), ('158.0', 'E'))"
12/14/2010,0.13,0,24,"(('4.9', 'S'), ('175.5', 'E'))"
12/9/2010,0.2,0,66,"(('54.5', 'S'), ('169.7', 'W'))"
12/1/2010,0.39,0,33.3,"(('72.5', 'S'), ('144.9', 'E'))"
11/21/2010,0.25,0,50,"(('1.9', 'N'), ('143.3', 'E'))"
11/19/2010,0.11,0,30,"(('10.3', 'S'), ('148.8', 'E'))"
11/10/2010,0.22,0,0,"(('74.5', 'N'), ('77.7', 'W'))"
11/9/2010,0.27,0,37,"(('56.3', 'S'), ('16.7', 'W'))"
11/9/2010,0.073,0,26,"(('14.0', 'S'), ('160.0', 'W'))"
10/27/2010,0.42,0,35.2,"(('14.1', 'S'), ('67.7', 'E'))"
10/8/2010,0.073,0,0,"((None, None), (None, None))"
9/24/2010,0.16,0,0,"(('67.4', 'S'), ('50.6', 'W'))"
9/18/2010,0.21,0,0,"(('7.4', 'N'), ('36.7', 'E'))"
9/8/2010,0.21,0,46.3,"(('13.9', 'S'), ('65.5', 'W'))"
9/5/2010,1.7,0,35.2,"(('25.9', 'S'), ('49.0', 'E'))"
9/3/2010,3.8,12.3,33.3,"(('61.0', 'S'), ('146.7', 'E'))"
8/17/2010,0.076,0,33.3,"(('20.7', 'N'), ('114.3', 'W'))"
8/12/2010,0.098,0,0,"((None, None), (None, None))"
8/5/2010,0.12,0,0,"(('21.5', 'S'), ('46.6', 'E'))"
7/15/2010,0.086,0,0,"(('60.9', 'N'), ('178.1', 'W'))"
7/6/2010,14,15.7,26,"(('34.1', 'S'), ('174.5', 'W'))"
6/26/2010,0.34,0,50,"(('0.5', 'S'), ('133.2', 'E'))"
6/21/2010,0.47,0,0,"(('22.5', 'S'), ('120.9', 'W'))"
6/17/2010,0.35,0,42,"(('26.1', 'S'), ('100.0', 'E'))"
4/17/2010,0.18,0,0,"(('13.1', 'N'), ('173.0', 'W'))"
4/16/2010,2,18.8,22.2,"(('1.8', 'N'), ('176.9', 'W'))"
4/6/2010,0.25,0,0,"(('52.8', 'N'), ('146.5', 'W'))"
3/18/2010,0.5,0,0,"(('32.4', 'S'), ('51.8', 'W'))"
3/15/2010,0.25,0,0,"((None, None), (None, None))"
3/14/2010,0.14,0,35.6,"(('33.8', 'N'), ('90.2', 'W'))"
3/8/2010,0.1,0,53,"(('18.2', 'N'), ('110.1', 'E'))"
3/8/2010,0.85,24.5,52,"(('32.0', 'N'), ('92.9', 'W'))"
2/28/2010,0.44,15.1,37,"(('48.7', 'N'), ('21.0', 'E'))"
2/26/2010,0.65,0,0,"(('37.3', 'S'), ('166.0', 'W'))"
2/24/2010,0.28,0,0,"(('2.6', 'S'), ('102.2', 'W'))"
1/15/2010,1.2,14,25,"(('8.3', 'S'), ('27.0', 'E'))"
12/31/2009,0.26,0,0,"((None, None), (None, None))"
12/31/2009,0.31,0,20.7,"(('37.9', 'N'), ('178.3', 'W'))"
11/25/2009,0.2,0,0,"(('52.8', 'S'), ('136.5', 'E'))"
11/21/2009,18,32.1,38,"(('22.0', 'S'), ('29.2', 'E'))"
11/18/2009,0.26,0,0,"((None, None), (None, None))"
11/18/2009,1.8,0,31.5,"(('40.4', 'N'), ('113.2', 'W'))"
11/14/2009,0.082,0,0,"((None, None), (None, None))"
11/7/2009,0.079,0,0,"(('45.5', 'N'), ('157.7', 'W'))"
11/7/2009,0.14,0,37,"(('24.0', 'N'), ('64.1', 'E'))"
10/11/2009,0.22,0,27.8,"(('78.3', 'S'), ('70.2', 'E'))"
10/8/2009,33,19.2,19.1,"(('4.2', 'S'), ('120.6', 'E'))"
9/27/2009,0.27,0,37,"(('36.0', 'S'), ('67.6', 'W'))"
9/18/2009,0.42,0,0,"(('7.7', 'N'), ('29.5', 'W'))"
9/4/2009,2.3,24,28.3,"(('42.5', 'N'), ('110.0', 'E'))"
8/23/2009,0.75,12.2,34,"(('67.7', 'S'), ('18.3', 'E'))"
7/31/2009,0.089,0,0,"(('8.9', 'N'), ('121.9', 'W'))"
7/16/2009,1.8,0,32.2,"(('24.4', 'S'), ('59.8', 'W'))"
7/3/2009,0.095,0,0,"((None, None), (None, None))"
6/27/2009,0.11,15.2,26.1,"(('26.6', 'S'), ('12.6', 'W'))"
6/20/2009,0.095,0,0,"((None, None), (None, None))"
6/18/2009,0.11,0,57.4,"(('23.7', 'S'), ('16.0', 'W'))"
6/9/2009,0.76,0,34.2,"(('54.9', 'N'), ('152.7', 'W'))"
5/31/2009,0.42,0,0,"(('19.7', 'N'), ('121.0', 'W'))"
5/13/2009,0.23,0,0,"((None, None), (None, None))"
5/4/2009,0.41,0,40.7,"(('36.4', 'N'), ('160.4', 'W'))"
4/20/2009,0.079,0,0,"(('6.0', 'N'), ('84.3', 'E'))"
4/10/2009,0.73,19.1,32.4,"(('44.7', 'S'), ('25.7', 'E'))"
3/15/2009,0.11,0,0,"(('21.7', 'S'), ('98.6', 'W'))"
3/4/2009,0.48,0,0,"((None, None), (None, None))"
3/1/2009,0.073,0,0,"((None, None), (None, None))"
2/20/2009,0.16,0,0,"(('64.9', 'S'), ('70.0', 'W'))"
2/7/2009,3.5,15.4,40,"(('56.6', 'N'), ('69.8', 'E'))"
1/12/2009,0.16,0,0,"(('47.8', 'N'), ('44.3', 'W'))"
1/10/2009,0.082,0,26.5,"(('64.0', 'S'), ('122.8', 'E'))"
12/24/2008,0.12,24.1,21.1,"(('68.9', 'S'), ('102.0', 'W'))"
12/12/2008,0.6,0,50,"(('7.0', 'S'), ('9.7', 'W'))"
12/9/2008,0.12,0,0,"((None, None), (None, None))"
11/24/2008,0.42,23.7,34.8,"(('57.9', 'S'), ('146.1', 'E'))"
11/21/2008,0.41,12.9,28.2,"(('53.1', 'N'), ('109.9', 'W'))"
11/18/2008,0.089,22.4,35.2,"(('29.4', 'S'), ('75.9', 'E'))"
11/9/2008,0.61,0,29.6,"(('14.5', 'N'), ('112.7', 'E'))"
10/21/2008,0.15,11.3,29.6,"(('32.8', 'N'), ('165.6', 'W'))"
10/10/2008,0.51,0,21.4,"(('57.3', 'S'), ('17.0', 'E'))"
10/7/2008,1,13.3,38.9,"(('20.9', 'N'), ('31.4', 'E'))"
9/9/2008,0.19,0,0,"((None, None), (None, None))"
8/16/2008,0.38,0,0,"(('11.3', 'N'), ('97.2', 'E'))"
8/12/2008,0.073,0,0,"(('11.6', 'S'), ('175.0', 'W'))"
8/7/2008,0.14,13.8,45.4,"(('18.5', 'N'), ('180.0', 'E'))"
7/23/2008,0.36,14.5,31.5,"(('38.6', 'N'), ('68.0', 'E'))"
7/22/2008,0.2,0,54.4,"(('17.8', 'S'), ('89.2', 'W'))"
7/11/2008,0.17,0,0,"((None, None), (None, None))"
7/8/2008,0.21,21.7,52.2,"(('72.8', 'N'), ('147.3', 'E'))"
7/1/2008,0.12,9.8,36.1,"(('37.1', 'N'), ('115.7', 'W'))"
6/27/2008,0.49,23.1,33.7,"(('26.9', 'S'), ('17.7', 'W'))"
6/18/2008,0.076,0,0,"(('6.1', 'N'), ('103.1', 'E'))"
5/29/2008,0.076,0,0,"(('15.7', 'N'), ('83.5', 'W'))"
5/24/2008,0.43,14.2,37,"(('0.8', 'N'), ('162.0', 'E'))"
5/22/2008,0.076,0,0,"(('46.9', 'N'), ('134.5', 'E'))"
5/15/2008,0.25,0,0,"(('28.0', 'N'), ('41.5', 'W'))"
5/6/2008,0.18,0,0,"((None, None), (None, None))"
4/30/2008,0.073,0,0,"(('33.6', 'S'), ('35.1', 'W'))"
4/7/2008,0.076,0,0,"(('31.8', 'S'), ('58.5', 'W'))"
4/6/2008,0.24,0,0,"((None, None), (None, None))"
3/15/2008,0.16,12.9,26.7,"(('28.0', 'N'), ('41.5', 'W'))"
2/24/2008,0.23,0,0,"((None, None), (None, None))"
2/19/2008,0.073,0,0,"(('48.9', 'N'), ('119.8', 'W'))"
2/18/2008,0.16,0,0,"((None, None), (None, None))"
2/17/2008,0.33,13.9,40.4,"(('74.9', 'N'), ('73.4', 'W'))"
2/16/2008,0.22,0,0,"((None, None), (None, None))"
1/18/2008,0.15,0,0,"((None, None), (None, None))"
1/9/2008,0.14,11.6,31.5,"(('66.8', 'S'), ('67.3', 'W'))"
12/26/2007,0.4,0,0,"(('61.6', 'S'), ('158.9', 'W'))"
12/20/2007,0.36,0,0,"(('51.3', 'N'), ('115.4', 'E'))"
10/25/2007,0.19,0,46.3,"(('40.9', 'S'), ('91.3', 'E'))"
10/12/2007,0.11,18.4,37,"(('88.5', 'N'), ('116.6', 'E'))"
10/7/2007,0.19,0,0,"(('35.2', 'S'), ('125.6', 'E'))"
9/22/2007,0.65,16.9,30.2,"(('49.2', 'S'), ('85.5', 'W'))"
6/11/2007,0.16,17,35.2,"(('23.4', 'S'), ('170.9', 'W'))"
6/8/2007,0.65,0,38.9,"(('52.0', 'S'), ('175.3', 'E'))"
6/7/2007,0.11,0,29.6,"(('21.9', 'N'), ('53.1', 'E'))"
5/16/2007,0.13,0,0,"(('4.5', 'S'), ('111.7', 'E'))"
5/16/2007,1,0,31.5,"(('42.4', 'S'), ('164.0', 'E'))"
5/4/2007,0.5,0,48,"(('22.9', 'N'), ('109.4', 'E'))"
4/18/2007,0.33,24.4,38,"(('83.7', 'S'), ('171.2', 'W'))"
4/16/2007,0.086,0,0,"((None, None), (None, None))"
3/17/2007,0.13,14.5,32.5,"(('7.1', 'N'), ('4.1', 'E'))"
3/15/2007,0.089,0,0,"(('44.1', 'S'), ('148.4', 'W'))"
3/7/2007,0.095,0,0,"((None, None), (None, None))"
2/2/2007,0.89,0,35.5,"(('24.0', 'N'), ('37.2', 'W'))"
1/26/2007,0.43,0,0,"(('3.7', 'N'), ('99.7', 'E'))"
1/22/2007,0.24,13.4,32,"(('45.4', 'N'), ('53.5', 'E'))"
1/18/2007,0.11,0,34.1,"(('5.3', 'N'), ('164.3', 'W'))"
1/17/2007,1.4,0,33.3,"(('8.7', 'S'), ('50.8', 'E'))"
1/1/2007,0.12,0,53,"(('44.4', 'N'), ('116.5', 'E'))"
12/9/2006,14,15.9,26.5,"(('26.2', 'N'), ('26.0', 'E'))"
12/7/2006,0.076,0,0,"(('14.0', 'N'), ('140.0', 'W'))"
12/1/2006,0.2,0,0,"(('13.0', 'S'), ('30.7', 'E'))"
11/13/2006,0.082,0,0,"(('44.0', 'S'), ('43.3', 'E'))"
10/24/2006,0.62,0,43,"(('1.9', 'S'), ('2.7', 'W'))"
10/14/2006,0.7,23.9,44.4,"(('49.4', 'N'), ('175.0', 'W'))"
10/9/2006,0.14,0,22.2,"(('47.0', 'S'), ('78.9', 'E'))"
10/7/2006,0.14,0,40.7,"(('23.0', 'S'), ('61.8', 'W'))"
10/2/2006,0.28,0,42,"(('14.0', 'N'), ('53.1', 'E'))"
9/27/2006,0.32,0,48.1,"(('32.0', 'S'), ('60.2', 'E'))"
9/23/2006,0.36,0,0,"(('29.0', 'S'), ('108.0', 'W'))"
9/2/2006,0.079,0,0,"((None, None), (None, None))"
9/2/2006,2.8,14.2,44.1,"(('14.0', 'S'), ('109.1', 'E'))"
8/29/2006,0.28,0,40.7,"(('44.0', 'S'), ('162.0', 'W'))"
8/18/2006,0.11,0,47.2,"(('43.0', 'S'), ('33.4', 'E'))"
8/17/2006,0.7,0,48.2,"(('11.0', 'S'), ('165.7', 'E'))"
8/15/2006,0.16,0,32.7,"(('4.9', 'N'), ('49.6', 'E'))"
8/9/2006,2.4,0,37,"(('23.1', 'S'), ('53.7', 'E'))"
7/15/2006,0.26,12.4,29.6,"(('78.3', 'S'), ('5.0', 'W'))"
7/15/2006,0.47,30.2,38.9,"(('31.1', 'N'), ('45.6', 'E'))"
6/7/2006,0.19,19.6,40.7,"(('69.2', 'N'), ('22.5', 'E'))"
5/28/2006,0.092,0,0,"((None, None), (None, None))"
5/21/2006,0.71,0,0,"(('11.6', 'S'), ('25.5', 'W'))"
5/7/2006,0.1,0,0,"((None, None), (None, None))"
5/6/2006,0.38,0,35.2,"(('60.2', 'S'), ('152.3', 'W'))"
4/25/2006,0.073,0,0,"((None, None), (None, None))"
4/8/2006,0.37,0,33.3,"(('17.3', 'N'), ('113.2', 'W'))"
4/4/2006,5,0,25,"(('26.6', 'N'), ('26.6', 'W'))"
3/14/2006,0.42,0,35.2,"(('7.0', 'N'), ('64.6', 'W'))"
2/26/2006,0.22,0,0,"((None, None), (None, None))"
2/6/2006,2.7,0,35.2,"(('54.5', 'S'), ('18.1', 'E'))"
2/4/2006,0.3,19.8,38.9,"(('36.9', 'N'), ('143.6', 'W'))"
1/28/2006,1.8,18.7,37,"(('51.7', 'S'), ('56.4', 'E'))"
1/27/2006,0.15,0,20,"(('58.7', 'N'), ('74.7', 'E'))"
1/26/2006,0.17,0,37,"(('79.8', 'S'), ('111.0', 'W'))"
1/10/2006,0.098,16.9,32.4,"(('29.8', 'N'), ('12.7', 'W'))"
1/8/2006,0.29,0,0,"(('7.6', 'N'), ('28.2', 'W'))"
12/29/2005,0.53,20.7,42.2,"(('3.0', 'S'), ('154.9', 'W'))"
12/24/2005,0.51,0,66,"(('54.0', 'S'), ('17.3', 'E'))"
