date,Impact energy (kt),Velocity (kps),altitude (km),coord
12/3/2005,0.27,17,32.2,"(('33.8', 'S'), ('117.4', 'E'))"
12/1/2005,0.11,0,0,"(('6.4', 'S'), ('155.8', 'W'))"
11/29/2005,0.11,0,59.3,"(('7.6', 'N'), ('58.2', 'W'))"
11/15/2005,0.089,0,32.4,"(('26.3', 'N'), ('113.4', 'W'))"
11/11/2005,0.14,0,29.6,"(('21.4', 'N'), ('134.1', 'W'))"
11/9/2005,0.23,13.8,30.7,"(('31.0', 'S'), ('145.9', 'E'))"
11/2/2005,0.11,0,68.5,"(('33.9', 'N'), ('154.9', 'W'))"
11/2/2005,0.21,0,74,"(('22.9', 'N'), ('123.8', 'W'))"
10/26/2005,0.4,0,16.7,"(('36.3', 'S'), ('80.5', 'W'))"
9/30/2005,0.079,0,53,"(('2.8', 'S'), ('84.1', 'W'))"
9/14/2005,0.089,0,33.3,"(('11.6', 'N'), ('27.3', 'E'))"
9/2/2005,0.25,0,0,"(('13.5', 'N'), ('73.1', 'E'))"
8/20/2005,0.095,0,0,"((None, None), (None, None))"
8/9/2005,0.089,16.9,37,"(('21.5', 'S'), ('56.2', 'E'))"
7/1/2005,0.11,0,50,"(('49.8', 'S'), ('33.1', 'E'))"
6/18/2005,0.082,0,0,"(('47.9', 'N'), ('85.6', 'E'))"
6/5/2005,0.14,0,0,"(('34.8', 'N'), ('90.9', 'E'))"
6/3/2005,0.25,26.2,29.6,"(('31.0', 'S'), ('90.3', 'W'))"
5/27/2005,0.073,0,50.5,"(('48.9', 'S'), ('145.1', 'E'))"
5/14/2005,0.38,0,0,"((None, None), (None, None))"
5/7/2005,0.092,16.6,15.2,"(('75.8', 'S'), ('163.7', 'E'))"
5/2/2005,0.15,0,0,"(('17.7', 'N'), ('36.0', 'E'))"
4/22/2005,0.079,0,37,"(('20.9', 'N'), ('36.7', 'W'))"
4/19/2005,0.64,16.8,38.5,"(('50.2', 'S'), ('146.4', 'W'))"
4/16/2005,0.073,0,0,"((None, None), (None, None))"
4/15/2005,0.076,0,39,"(('43.8', 'S'), ('73.9', 'W'))"
4/14/2005,0.22,0,26.5,"(('4.9', 'N'), ('176.0', 'W'))"
4/11/2005,0.32,0,37,"(('34.2', 'S'), ('95.7', 'W'))"
4/6/2005,0.1,0,70,"(('42.7', 'S'), ('154.6', 'E'))"
4/5/2005,0.12,0,0,"((None, None), (None, None))"
4/3/2005,0.61,0,59.2,"(('1.0', 'S'), ('112.4', 'E'))"
4/2/2005,0.57,0,27.2,"(('14.1', 'N'), ('169.7', 'E'))"
3/31/2005,0.13,0,0,"(('42.8', 'N'), ('36.2', 'W'))"
3/18/2005,0.095,0,33,"(('9.7', 'S'), ('34.7', 'W'))"
3/12/2005,0.079,0,0,"((None, None), (None, None))"
3/9/2005,0.17,0,44.4,"(('21.4', 'S'), ('157.9', 'W'))"
3/9/2005,0.13,0,30.7,"(('14.3', 'N'), ('142.7', 'E'))"
3/6/2005,0.18,0,0,"((None, None), (None, None))"
2/22/2005,0.14,0,0,"((None, None), (None, None))"
2/17/2005,0.3,0,42.5,"(('48.0', 'N'), ('161.5', 'W'))"
1/19/2005,0.41,0,40.7,"(('27.5', 'S'), ('164.9', 'W'))"
1/2/2005,0.35,21.5,35.2,"(('21.3', 'S'), ('154.7', 'E'))"
1/1/2005,1.2,0,31.8,"(('32.7', 'N'), ('12.4', 'E'))"
12/29/2004,0.28,0,0,"(('8.5', 'S'), ('171.8', 'E'))"
12/13/2004,0.13,0,0,"(('9.7', 'S'), ('155.3', 'E'))"
12/11/2004,0.1,0,0,"(('36.0', 'N'), ('104.1', 'E'))"
11/30/2004,0.51,0,0,"(('61.0', 'N'), ('171.0', 'W'))"
11/17/2004,0.52,0,0,"((None, None), (None, None))"
10/14/2004,0.28,0,0,"((None, None), (None, None))"
10/10/2004,0.1,0,0,"((None, None), (None, None))"
10/7/2004,18,19.2,35,"(('27.3', 'S'), ('71.5', 'E'))"
10/4/2004,0.22,0,0,"(('3.7', 'N'), ('150.9', 'W'))"
9/28/2004,0.2,0,0,"(('0.2', 'N'), ('101.1', 'W'))"
9/3/2004,13,0,31.5,"(('67.7', 'S'), ('18.2', 'E'))"
8/22/2004,3.2,0,37,"(('51.9', 'S'), ('22.7', 'E'))"
7/29/2004,0.089,0,0,"((None, None), (None, None))"
7/25/2004,0.55,0,0,"((None, None), (None, None))"
7/22/2004,0.12,0,0,"((None, None), (None, None))"
7/16/2004,0.1,0,0,"((None, None), (None, None))"
7/4/2004,0.25,0,0,"((None, None), (None, None))"
7/3/2004,0.21,0,0,"((None, None), (None, None))"
6/12/2004,0.31,0,0,"(('21.7', 'N'), ('175.3', 'E'))"
6/11/2004,0.31,0,0,"((None, None), (None, None))"
6/5/2004,3.9,19.5,43,"(('1.3', 'N'), ('174.4', 'W'))"
6/4/2004,0.89,0,0,"((None, None), (None, None))"
6/3/2004,0.16,0,0,"((None, None), (None, None))"
6/3/2004,0.18,0,0,"(('48.9', 'N'), ('120.4', 'W'))"
5/18/2004,1,0,0,"(('28.1', 'S'), ('47.4', 'W'))"
5/17/2004,0.18,0,44,"(('18.9', 'S'), ('28.3', 'E'))"
5/6/2004,0.16,0,0,"((None, None), (None, None))"
4/23/2004,0.18,0,0,"((None, None), (None, None))"
4/22/2004,0.41,0,0,"(('15.2', 'S'), ('55.1', 'E'))"
4/22/2004,1.5,16.3,29.6,"(('44.3', 'S'), ('83.3', 'E'))"
4/6/2004,1.1,25.6,35,"(('12.0', 'S'), ('162.8', 'E'))"
3/26/2004,0.086,0,46,"(('7.6', 'S'), ('155.1', 'E'))"
3/25/2004,0.076,0,0,"(('4.8', 'S'), ('21.0', 'E'))"
2/27/2004,0.19,0,0,"((None, None), (None, None))"
2/2/2004,0.1,0,0,"(('18.3', 'S'), ('52.3', 'E'))"
1/22/2004,0.64,0,37,"(('50.6', 'S'), ('157.8', 'E'))"
1/17/2004,0.098,0,0,"((None, None), (None, None))"
1/16/2004,0.3,0,0,"((None, None), (None, None))"
1/2/2004,0.39,0,63,"(('28.2', 'S'), ('3.2', 'E'))"
12/9/2003,1.6,0,0,"(('67.1', 'S'), ('90.8', 'W'))"
11/26/2003,0.12,0,32,"(('22.9', 'S'), ('22.7', 'E'))"
11/10/2003,1.3,20.1,23,"(('64.5', 'S'), ('136.2', 'E'))"
11/1/2003,0.23,0,0,"(('51.4', 'S'), ('151.7', 'E'))"
10/16/2003,0.77,0,0,"((None, None), (None, None))"
10/13/2003,0.1,0,0,"((None, None), (None, None))"
10/7/2003,0.13,0,0,"((None, None), (None, None))"
9/27/2003,4.6,18.2,26,"(('21.0', 'N'), ('86.6', 'E'))"
9/22/2003,0.11,0,0,"((None, None), (None, None))"
9/21/2003,0.073,0,0,"((None, None), (None, None))"
9/20/2003,0.1,0,0,"((None, None), (None, None))"
9/2/2003,1,0,0,"(('51.3', 'N'), ('161.0', 'W'))"
8/26/2003,0.23,0,0,"((None, None), (None, None))"
8/26/2003,0.68,0,0,"((None, None), (None, None))"
8/17/2003,1.6,0,0,"(('39.0', 'S'), ('34.0', 'E'))"
8/1/2003,0.076,0,0,"((None, None), (None, None))"
7/21/2003,0.19,0,0,"((None, None), (None, None))"
6/22/2003,0.076,0,0,"((None, None), (None, None))"
6/21/2003,0.13,0,0,"((None, None), (None, None))"
6/16/2003,0.21,0,0,"((None, None), (None, None))"
6/10/2003,0.11,0,0,"(('41.8', 'S'), ('122.9', 'E'))"
5/27/2003,0.22,0,0,"(('5.2', 'N'), ('166.2', 'E'))"
5/19/2003,1.3,0,0,"((None, None), (None, None))"
5/18/2003,0.076,0,0,"((None, None), (None, None))"
5/15/2003,0.14,0,0,"(('54.0', 'N'), ('80.4', 'W'))"
4/28/2003,0.082,0,0,"((None, None), (None, None))"
4/13/2003,0.5,0,17,"(('14.8', 'N'), ('64.5', 'E'))"
4/7/2003,0.079,0,0,"(('18.4', 'S'), ('162.6', 'E'))"
4/1/2003,0.11,0,0,"((None, None), (None, None))"
3/27/2003,0.41,0,45,"(('41.4', 'N'), ('87.7', 'W'))"
2/25/2003,0.11,0,0,"(('40.0', 'N'), ('116.0', 'E'))"
2/12/2003,0.25,0,0,"((None, None), (None, None))"
2/12/2003,0.36,0,0,"(('31.5', 'S'), ('107.5', 'E'))"
2/6/2003,0.55,0,0,"(('62.9', 'S'), ('113.9', 'W'))"
2/5/2003,0.31,0,0,"((None, None), (None, None))"
2/4/2003,0.4,0,0,"(('59.9', 'S'), ('41.0', 'E'))"
1/30/2003,0.32,0,0,"((None, None), (None, None))"
11/28/2002,0.15,0,0,"((None, None), (None, None))"
11/21/2002,0.66,0,0,"(('1.4', 'S'), ('154.0', 'W'))"
11/12/2002,0.14,0,0,"(('21.1', 'S'), ('6.8', 'W'))"
11/10/2002,1.2,0,0,"(('16.0', 'N'), ('166.0', 'W'))"
10/9/2002,0.16,0,0,"(('4.3', 'S'), ('175.9', 'W'))"
10/4/2002,0.35,0,0,"((None, None), (None, None))"
9/24/2002,2,0,0,"(('57.9', 'N'), ('112.9', 'E'))"
8/14/2002,0.28,0,0,"(('6.9', 'S'), ('126.2', 'W'))"
8/11/2002,3.3,0,0,"(('18.2', 'S'), ('159.4', 'E'))"
8/10/2002,0.089,0,0,"((None, None), (None, None))"
7/25/2002,0.63,0,0,"(('28.7', 'S'), ('47.0', 'E'))"
7/22/2002,0.17,0,0,"(('34.0', 'N'), ('106.1', 'E'))"
6/29/2002,0.46,0,0,"((None, None), (None, None))"
6/15/2002,0.1,0,0,"((None, None), (None, None))"
6/13/2002,0.54,0,0,"(('24.9', 'S'), ('111.4', 'E'))"
6/2/2002,8.8,0,0,"(('34.0', 'N'), ('21.0', 'E'))"
4/3/2002,0.51,0,0,"(('5.3', 'S'), ('27.1', 'E'))"
4/2/2002,0.11,0,0,"((None, None), (None, None))"
3/28/2002,0.095,0,0,"((None, None), (None, None))"
3/19/2002,0.26,0,0,"((None, None), (None, None))"
3/19/2002,0.17,0,0,"((None, None), (None, None))"
3/18/2002,0.073,0,0,"(('60.4', 'S'), ('120.5', 'W'))"
3/9/2002,0.68,0,0,"(('6.9', 'N'), ('147.3', 'W'))"
3/3/2002,0.25,0,0,"(('37.5', 'N'), ('154.0', 'E'))"
3/1/2002,0.13,0,0,"(('29.2', 'N'), ('66.8', 'W'))"
2/9/2002,0.22,0,0,"(('17.7', 'S'), ('138.7', 'E'))"
2/1/2002,0.22,0,0,"(('60.7', 'N'), ('116.6', 'E'))"
1/20/2002,0.31,0,0,"(('48.4', 'N'), ('165.0', 'W'))"
1/3/2002,0.36,0,0,"((None, None), (None, None))"
12/14/2001,0.44,0,0,"((None, None), (None, None))"
12/12/2001,0.3,0,0,"((None, None), (None, None))"
11/26/2001,0.54,0,0,"((None, None), (None, None))"
11/13/2001,0.83,0,0,"((None, None), (None, None))"
11/11/2001,0.38,0,0,"((None, None), (None, None))"
10/27/2001,0.12,0,0,"(('52.7', 'N'), ('3.8', 'E'))"
10/14/2001,0.27,0,0,"((None, None), (None, None))"
10/12/2001,0.2,0,0,"((None, None), (None, None))"
10/6/2001,0.45,0,0,"((None, None), (None, None))"
9/25/2001,0.14,0,0,"((None, None), (None, None))"
8/26/2001,0.13,0,0,"((None, None), (None, None))"
8/18/2001,0.13,0,0,"((None, None), (None, None))"
7/26/2001,0.86,0,0,"(('0.4', 'N'), ('84.8', 'E'))"
7/23/2001,2.8,0,0,"(('41.0', 'N'), ('77.0', 'W'))"
5/6/2001,0.16,0,0,"((None, None), (None, None))"
4/27/2001,0.38,0,0,"((None, None), (None, None))"
4/23/2001,9,0,29,"(('28.0', 'N'), ('133.6', 'W'))"
4/14/2001,0.086,0,0,"((None, None), (None, None))"
4/13/2001,0.68,0,0,"(('15.3', 'S'), ('162.4', 'E'))"
2/9/2001,0.32,0,0,"((None, None), (None, None))"
2/4/2001,0.44,0,0,"(('64.0', 'S'), ('97.3', 'E'))"
1/28/2001,0.32,0,0,"(('66.0', 'N'), ('31.3', 'E'))"
12/15/2000,0.71,0,0,"(('41.3', 'N'), ('95.2', 'E'))"
12/15/2000,0.095,0,0,"(('50.4', 'N'), ('58.9', 'E'))"
11/28/2000,0.35,0,0,"((None, None), (None, None))"
11/13/2000,0.21,0,0,"(('13.6', 'S'), ('5.8', 'W'))"
11/6/2000,0.22,0,0,"(('52.0', 'S'), ('22.2', 'W'))"
10/11/2000,0.25,0,0,"(('31.7', 'S'), ('5.5', 'W'))"
9/24/2000,0.095,0,0,"((None, None), (None, None))"
9/23/2000,0.079,0,0,"(('58.5', 'S'), ('142.6', 'E'))"
9/19/2000,0.27,0,0,"(('3.2', 'S'), ('133.8', 'W'))"
8/25/2000,3.1,0,0,"(('14.5', 'N'), ('106.1', 'W'))"
8/13/2000,0.21,0,0,"(('36.7', 'N'), ('127.8', 'W'))"
8/1/2000,0.51,0,0,"(('50.2', 'S'), ('101.9', 'W'))"
7/31/2000,0.13,0,0,"(('15.7', 'N'), ('138.5', 'W'))"
7/19/2000,0.32,0,0,"(('17.7', 'S'), ('94.1', 'E'))"
7/15/2000,0.076,0,0,"(('46.6', 'S'), ('163.3', 'E'))"
7/9/2000,0.36,0,0,"((None, None), (None, None))"
7/7/2000,0.21,0,0,"(('15.0', 'N'), ('140.7', 'E'))"
6/27/2000,0.095,0,0,"(('34.9', 'N'), ('36.8', 'E'))"
6/23/2000,0.073,0,0,"(('69.2', 'N'), ('44.0', 'W'))"
6/22/2000,0.1,0,0,"(('32.9', 'N'), ('159.0', 'E'))"
6/18/2000,0.39,0,0,"((None, None), (None, None))"
6/14/2000,0.42,0,48,"(('28.1', 'N'), ('107.3', 'E'))"
6/4/2000,0.53,0,0,"((None, None), (None, None))"
6/3/2000,0.1,0,0,"(('36.8', 'N'), ('74.8', 'W'))"
6/2/2000,0.1,0,0,"(('27.5', 'S'), ('18.9', 'W'))"
5/29/2000,0.19,0,0,"((None, None), (None, None))"
5/6/2000,0.098,0,0,"(('49.9', 'N'), ('18.4', 'E'))"
5/3/2000,0.19,0,0,"(('5.0', 'S'), ('73.0', 'E'))"
4/21/2000,0.27,0,0,"((None, None), (None, None))"
4/4/2000,0.082,0,0,"((None, None), (None, None))"
3/28/2000,0.2,0,0,"(('1.0', 'N'), ('98.3', 'E'))"
3/19/2000,0.16,0,0,"((None, None), (None, None))"
3/6/2000,2.2,0,0,"(('58.0', 'N'), ('175.0', 'E'))"
2/18/2000,7.3,0,0,"(('0.9', 'S'), ('109.2', 'E'))"
2/17/2000,0.079,0,0,"(('14.2', 'N'), ('115.9', 'E'))"
1/18/2000,2.4,0,0,"(('60.3', 'N'), ('134.6', 'W'))"
1/18/2000,0.12,0,0,"(('24.3', 'N'), ('94.9', 'W'))"
12/16/1999,0.21,0,0,"(('26.5', 'S'), ('11.3', 'W'))"
12/11/1999,0.74,0,0,"((None, None), (None, None))"
12/10/1999,0.098,0,0,"((None, None), (None, None))"
12/3/1999,0.14,0,0,"((None, None), (None, None))"
12/1/1999,0.082,0,0,"((None, None), (None, None))"
11/30/1999,0.15,0,0,"((None, None), (None, None))"
11/15/1999,0.23,0,0,"(('8.1', 'S'), ('75.4', 'E'))"
11/7/1999,0.27,0,0,"(('2.3', 'S'), ('77.4', 'W'))"
10/26/1999,0.27,0,0,"(('13.7', 'N'), ('70.8', 'W'))"
9/8/1999,0.098,0,0,"(('22.4', 'N'), ('0.2', 'E'))"
9/8/1999,0.28,0,32,"(('32.5', 'N'), ('104.6', 'E'))"
8/16/1999,0.12,0,0,"(('35.0', 'N'), ('107.2', 'W'))"
8/6/1999,0.22,0,0,"((None, None), (None, None))"
8/3/1999,0.93,0,0,"(('64.7', 'S'), ('18.8', 'W'))"
7/10/1999,0.86,0,52,"(('37.8', 'S'), ('39.6', 'E'))"
7/7/1999,0.41,0,0,"(('39.5', 'S'), ('174.4', 'E'))"
6/25/1999,0.37,0,69,"(('50.0', 'N'), ('121.0', 'E'))"
5/23/1999,0.092,0,0,"(('16.4', 'S'), ('116.3', 'W'))"
4/26/1999,0.28,0,0,"(('22.5', 'S'), ('6.5', 'E'))"
4/26/1999,0.11,0,0,"(('32.8', 'S'), ('159.1', 'E'))"
3/31/1999,0.64,0,0,"(('17.9', 'S'), ('22.6', 'E'))"
3/28/1999,0.81,0,0,"(('0.8', 'N'), ('97.6', 'E'))"
3/2/1999,0.19,0,0,"(('18.9', 'N'), ('50.5', 'E'))"
2/18/1999,0.44,0,0,"(('54.9', 'S'), ('64.6', 'W'))"
2/1/1999,0.098,0,0,"(('80.0', 'N'), ('154.2', 'E'))"
1/19/1999,0.086,0,0,"(('7.9', 'N'), ('85.8', 'E'))"
1/14/1999,9.8,0,32,"(('44.0', 'S'), ('129.7', 'W'))"
1/12/1999,0.14,0,0,"((None, None), (None, None))"
1/11/1999,0.086,0,0,"((None, None), (None, None))"
1/2/1999,0.12,0,65,"(('47.0', 'N'), ('103.0', 'E'))"
12/22/1998,0.095,0,0,"((None, None), (None, None))"
11/23/1998,0.089,0,0,"(('82.3', 'N'), ('160.1', 'E'))"
11/11/1998,1.6,0,0,"(('6.5', 'N'), ('156.4', 'E'))"
10/3/1998,0.11,0,0,"((None, None), (None, None))"
9/4/1998,0.38,0,0,"((None, None), (None, None))"
9/1/1998,0.086,0,0,"(('34.6', 'N'), ('23.6', 'E'))"
8/30/1998,0.14,0,0,"((None, None), (None, None))"
8/8/1998,0.082,0,0,"((None, None), (None, None))"
7/28/1998,0.2,0,0,"((None, None), (None, None))"
3/24/1998,0.095,0,0,"((None, None), (None, None))"
3/22/1998,0.41,0,0,"(('1.4', 'N'), ('26.6', 'E'))"
1/8/1998,0.2,0,0,"((None, None), (None, None))"
1/4/1998,0.23,17.1,30,"(('35.1', 'S'), ('33.4', 'E'))"
12/28/1997,0.11,0,0,"(('23.1', 'S'), ('152.4', 'E'))"
12/9/1997,0.73,0,0,"(('62.7', 'N'), ('49.9', 'W'))"
11/7/1997,1.9,0,0,"(('57.3', 'S'), ('167.2', 'E'))"
10/9/1997,0.53,0,37,"(('31.8', 'N'), ('106.0', 'W'))"
10/1/1997,0.2,0,0,"(('46.7', 'N'), ('108.9', 'E'))"
9/30/1997,0.082,0,0,"(('38.1', 'S'), ('63.9', 'E'))"
9/5/1997,0.53,0,0,"(('31.1', 'S'), ('56.4', 'E'))"
8/20/1997,0.092,0,0,"((None, None), (None, None))"
8/15/1997,0.079,0,0,"((None, None), (None, None))"
7/30/1997,0.16,0,0,"((None, None), (None, None))"
7/4/1997,0.095,0,0,"(('15.8', 'S'), ('175.8', 'W'))"
5/22/1997,0.15,0,0,"((None, None), (None, None))"
4/27/1997,0.86,0,0,"(('16.7', 'N'), ('87.5', 'E'))"
2/19/1997,0.41,0,0,"(('16.3', 'S'), ('87.7', 'W'))"
2/15/1997,0.43,0,0,"(('35.5', 'N'), ('115.6', 'E'))"
2/6/1997,0.092,0,0,"((None, None), (None, None))"
1/28/1997,0.086,0,0,"((None, None), (None, None))"
1/23/1997,0.73,0,0,"(('15.0', 'S'), ('94.2', 'E'))"
1/22/1997,1.2,0,0,"(('32.2', 'N'), ('29.0', 'E'))"
1/4/1997,0.14,0,0,"(('25.7', 'N'), ('5.3', 'W'))"
1/3/1997,0.92,0,0,"((None, None), (None, None))"
12/17/1996,0.14,0,0,"(('34.1', 'N'), ('37.2', 'W'))"
12/10/1996,0.68,0,0,"((None, None), (None, None))"
12/4/1996,0.16,0,0,"((None, None), (None, None))"
12/1/1996,0.2,0,0,"((None, None), (None, None))"
11/22/1996,0.22,0,0,"((None, None), (None, None))"
11/8/1996,0.2,0,0,"((None, None), (None, None))"
10/30/1996,0.076,0,0,"(('2.1', 'S'), ('123.1', 'W'))"
10/28/1996,0.14,0,0,"(('27.4', 'N'), ('79.4', 'W'))"
10/23/1996,0.15,0,0,"(('47.3', 'S'), ('20.6', 'E'))"
10/19/1996,0.38,0,0,"(('29.7', 'N'), ('34.7', 'W'))"
10/7/1996,0.15,0,0,"((None, None), (None, None))"
10/5/1996,0.68,0,0,"(('49.6', 'S'), ('145.9', 'E'))"
8/17/1996,0.12,0,0,"((None, None), (None, None))"
8/15/1996,0.26,0,0,"((None, None), (None, None))"
8/9/1996,0.1,0,0,"((None, None), (None, None))"
8/7/1996,0.43,0,0,"((None, None), (None, None))"
8/6/1996,0.38,0,0,"((None, None), (None, None))"
8/5/1996,0.61,0,0,"((None, None), (None, None))"
8/5/1996,0.25,0,0,"((None, None), (None, None))"
7/17/1996,0.16,0,0,"(('31.8', 'N'), ('111.4', 'E'))"
7/12/1996,0.11,0,0,"(('20.7', 'N'), ('93.6', 'W'))"
6/25/1996,0.076,0,0,"((None, None), (None, None))"
5/8/1996,0.098,0,0,"((None, None), (None, None))"
5/1/1996,0.12,0,0,"((None, None), (None, None))"
3/31/1996,0.095,0,0,"((None, None), (None, None))"
3/30/1996,0.36,0,0,"(('31.1', 'S'), ('84.3', 'W'))"
3/29/1996,0.38,0,0,"(('21.5', 'N'), ('158.1', 'W'))"
3/25/1996,0.15,0,0,"((None, None), (None, None))"
3/13/1996,0.63,0,0,"((None, None), (None, None))"
2/16/1996,0.18,0,0,"((None, None), (None, None))"
2/15/1996,0.16,0,0,"(('76.0', 'N'), ('127.0', 'W'))"
1/18/1996,0.36,0,0,"((None, None), (None, None))"
1/15/1996,0.71,0,0,"(('59.8', 'S'), ('175.8', 'E'))"
12/27/1995,0.079,0,0,"((None, None), (None, None))"
12/22/1995,1.1,0,0,"(('70.2', 'S'), ('73.3', 'W'))"
12/9/1995,0.36,0,0,"(('2.9', 'S'), ('79.0', 'W'))"
11/25/1995,0.1,0,0,"((None, None), (None, None))"
11/13/1995,0.076,0,0,"((None, None), (None, None))"
10/1/1995,0.12,0,0,"((None, None), (None, None))"
9/9/1995,1.3,0,0,"((None, None), (None, None))"
8/24/1995,0.36,0,0,"((None, None), (None, None))"
8/17/1995,0.46,0,0,"((None, None), (None, None))"
8/6/1995,0.18,0,0,"((None, None), (None, None))"
8/5/1995,0.56,0,0,"(('11.6', 'N'), ('104.3', 'W'))"
7/11/1995,0.38,0,0,"(('28.5', 'S'), ('93.3', 'E'))"
7/9/1995,0.089,0,0,"(('0.9', 'S'), ('66.3', 'E'))"
7/7/1995,0.41,0,0,"(('40.2', 'N'), ('76.1', 'W'))"
6/9/1995,0.089,0,0,"((None, None), (None, None))"
4/2/1995,0.089,0,0,"((None, None), (None, None))"
2/16/1995,0.19,0,0,"(('16.7', 'N'), ('141.7', 'W'))"
1/18/1995,0.22,0,0,"(('51.5', 'N'), ('115.4', 'E'))"
1/10/1995,0.089,0,0,"((None, None), (None, None))"
1/4/1995,0.14,0,0,"(('46.4', 'N'), ('12.1', 'E'))"
1/2/1995,0.1,0,0,"((None, None), (None, None))"
12/18/1994,0.16,0,0,"((None, None), (None, None))"
12/16/1994,0.16,0,0,"(('42.2', 'S'), ('27.6', 'E'))"
11/3/1994,5,0,0,"(('6.5', 'N'), ('89.0', 'E'))"
11/1/1994,2.3,0,0,"(('1.5', 'S'), ('84.5', 'W'))"
10/27/1994,0.85,0,0,"((None, None), (None, None))"
10/20/1994,0.27,0,0,"(('45.2', 'S'), ('1.9', 'W'))"
10/8/1994,0.21,0,0,"((None, None), (None, None))"
9/22/1994,0.21,0,0,"((None, None), (None, None))"
8/15/1994,0.47,0,0,"((None, None), (None, None))"
6/15/1994,0.14,0,0,"(('45.0', 'N'), ('73.5', 'W'))"
6/3/1994,1.3,0,0,"((None, None), (None, None))"
5/29/1994,1,0,0,"(('52.8', 'N'), ('2.3', 'E'))"
2/1/1994,30,0,0,"(('2.7', 'N'), ('164.1', 'E'))"
11/29/1993,0.092,0,0,"(('26.5', 'N'), ('78.3', 'E'))"
10/31/1993,0.13,0,0,"(('51.3', 'N'), ('100.9', 'W'))"
10/4/1991,1.4,0,0,"(('78.7', 'N'), ('6.3', 'E'))"
10/1/1990,5.2,0,0,"(('7.5', 'N'), ('142.8', 'E'))"
4/15/1988,14,0,0,"(('4.1', 'S'), ('124.3', 'E'))"
